Year,sp500,small_caps,t_bill_3_mo,t_bond_10_yr,baa_corp_bond,real_estate,gold,inflation
1928,0.43810000000000004,0.6214999999999999,0.0308,0.0084,0.0322,0.0149,0.001,-0.0116
1929,-0.083,-0.4608,0.0316,0.042,0.0302,-0.0206,-0.0015,0.0058
1930,-0.25120000000000003,-0.48350000000000004,0.0455,0.0454,0.0054,-0.043,0.001,-0.064
1931,-0.4384,-0.4362,0.0231,-0.0256,-0.1568,-0.0815,-0.17379999999999998,-0.0932
1932,-0.0864,0.2865,0.010700000000000001,0.08789999999999999,0.2359,-0.1047,0.21280000000000002,-0.1027
1933,0.49979999999999997,1.466,0.0096,0.018600000000000002,0.1297,-0.0381,0.2726,0.0076
1934,-0.011899999999999999,0.23070000000000002,0.0028000000000000004,0.0796,0.1882,0.0291,0.3175,0.0152
1935,0.46740000000000004,0.5489999999999999,0.0017000000000000001,0.0447,0.1331,0.0977,0.0043,0.029900000000000003
1936,0.3194,0.9641,0.0017000000000000001,0.050199999999999995,0.11380000000000001,0.0322,0.0009,0.014499999999999999
1937,-0.35340000000000005,-0.5394,0.0028000000000000004,0.0138,-0.044199999999999996,0.0256,-0.0023,0.0286
1938,0.2928,0.0516,0.0007000000000000001,0.0421,0.0924,-0.0087,0.0017000000000000001,-0.0278
1939,-0.011000000000000001,-0.048600000000000004,0.0005,0.0441,0.07980000000000001,-0.013000000000000001,-0.0123,0.0
1940,-0.1067,-0.32880000000000004,0.0004,0.054000000000000006,0.08650000000000001,0.0331,-0.0166,0.0070999999999999995
1941,-0.1277,-0.0675,0.0013,-0.0202,0.0501,-0.08380000000000001,0.0,0.0993
1942,0.1917,0.6301,0.0034000000000000002,0.0229,0.0518,0.0333,0.0,0.09029999999999999
1943,0.2506,1.4302000000000001,0.0038,0.024900000000000002,0.08039999999999999,0.11449999999999999,0.0,0.0296
1944,0.19030000000000002,0.7115,0.0038,0.0258,0.06570000000000001,0.16579999999999998,0.0,0.023
1945,0.3582,0.9440999999999999,0.0038,0.038,0.068,0.11779999999999999,0.0254,0.0225
1946,-0.0843,-0.1373,0.0038,0.0313,0.025099999999999997,0.24100000000000002,0.0,0.1813
1947,0.052000000000000005,-0.0174,0.006,0.0092,0.0026,0.2126,0.0,0.08839999999999999
1948,0.057,-0.0001,0.0105,0.0195,0.0344,0.0206,0.0,0.029900000000000003
1949,0.183,0.276,0.011200000000000002,0.0466,0.0538,0.0009,-0.087,-0.0207
1950,0.3081,0.5281,0.012,0.0043,0.0424,0.0364,0.0956,0.0593
1951,0.2368,0.0387,0.0152,-0.003,-0.0019,0.0605,0.0,0.06
1952,0.1815,0.0102,0.0172,0.0227,0.0444,0.0441,-0.0034999999999999996,0.0075
1953,-0.0121,-0.059699999999999996,0.0189,0.0414,0.016200000000000003,0.1152,0.0069,0.0075
1954,0.5256000000000001,0.6496999999999999,0.009399999999999999,0.0329,0.0616,0.0092,0.005699999999999999,-0.0074
1955,0.326,0.2672,0.0172,-0.0134,0.0204,0.0,-0.0003,0.0037
1956,0.07440000000000001,-0.0089,0.0262,-0.0226,-0.0235,0.0091,-0.0011,0.029900000000000003
1957,-0.10460000000000001,-0.1519,0.0322,0.068,-0.0072,0.027200000000000002,-0.0011,0.028999999999999998
1958,0.4372,0.688,0.0177,-0.021,0.0643,0.0066,0.0043,0.0176
1959,0.1206,0.127,0.0339,-0.0265,0.015700000000000002,0.0011,0.0,0.0173
1960,0.0034000000000000002,-0.035699999999999996,0.0287,0.1164,0.0666,0.0077,0.0048,0.013600000000000001
1961,0.2664,0.2945,0.0235,0.0206,0.051,0.0098,-0.0006,0.0067
1962,-0.08810000000000001,-0.0978,0.0277,0.056900000000000006,0.065,0.0032,-0.0006,0.013300000000000001
1963,0.2261,0.19649999999999998,0.0316,0.0168,0.0546,0.021400000000000002,-0.004,0.016399999999999998
1964,0.1642,0.2325,0.0355,0.0373,0.0516,0.0126,0.0003,0.0097
1965,0.124,0.4524,0.0395,0.0072,0.0319,0.0166,0.0006,0.0192
1966,-0.09970000000000001,-0.0947,0.048600000000000004,0.0291,-0.0345,0.012199999999999999,0.0003,0.0346
1967,0.23800000000000002,1.1587,0.0429,-0.0158,0.009000000000000001,0.0232,-0.0051,0.0304
1968,0.1081,0.6069,0.053399999999999996,0.0327,0.048499999999999995,0.041299999999999996,0.1247,0.0472
1969,-0.0824,-0.3295,0.0667,-0.0501,-0.0203,0.0699,0.0501,0.062
1970,0.0356,-0.18780000000000002,0.0639,0.1675,0.0565,0.08220000000000001,-0.09449999999999999,0.0557
1971,0.1422,0.15960000000000002,0.0433,0.09789999999999999,0.14,0.0424,0.16690000000000002,0.0327
1972,0.18760000000000002,0.0016,0.0406,0.0282,0.11410000000000001,0.0298,0.4878,0.0341
1973,-0.1431,-0.38799999999999996,0.0704,0.0366,0.0432,0.0342,0.7295999999999999,0.08710000000000001
